Player Name,Player ID,Champion ID,Record,Winrate,KDA,CS /min,Gold /min,Gold %,KP,Damage /min,Damage %,K + A /min,Solo kills,Pentakills
0909,4768,2,1W - 2L,33.3%,3.0,8.7,374,21.5%,70.1%,466.4,20.8%,0.23,-,-
0909,4768,38,1W - 1L,50%,4.0,7.6,350,20.8%,87.5%,683.3,30%,0.21,-,-
0din,5413,96,1W - 2L,33.3%,3.0,7.9,390,21.5%,41.8%,320,12.3%,0.3,-,0
0din,5413,142,0W - 2L,0%,1.7,8,358,22.1%,65%,378.1,21.1%,0.2,-,0
0din,5413,162,1W - 1L,50%,4.6,8.3,397,21.3%,38.3%,430.1,15.2%,0.32,-,0
0din,5413,130,1W - 0L,100%,3.5,8.3,421,21.1%,77.8%,694,29.5%,0.4,-,0
0din,5413,36,1W - 0L,100%,1.5,7.1,367,18.8%,50%,761,24.3%,0.24,1,0
0din,5413,46,0W - 1L,0%,0.7,8.7,336,20.4%,22.2%,320.7,14.7%,0.06,-,0
0din,5413,166,0W - 1L,0%,1.0,6.9,337,19.8%,53.8%,600.6,30.5%,0.2,1,0
1116,2896,166,4W - 4L,50%,5.2,8.6,409,22.6%,81.6%,851,33.4%,0.33,5,0
1116,2896,38,7W - 3L,70%,4.4,7.2,348,19.5%,75.3%,540.8,22.1%,0.3,2,0
1116,2896,142,9W - 2L,81.8%,5.6,8.2,409,20.6%,65.2%,593.2,23.9%,0.41,2,0
1116,2896,120,8W - 6L,57.1%,3.3,8.9,403,22.6%,66.5%,544.6,28.5%,0.27,2,0
1116,2896,67,9W - 7L,56.3%,5.1,8.6,400,22.7%,78.3%,494.4,25.5%,0.36,1,0
1116,2896,93,1W - 3L,25%,2.8,9.5,459,24.8%,70.1%,601.1,25.9%,0.31,1,0
1116,2896,150,2W - 2L,50%,4.2,8.7,427,21.7%,58.8%,478.5,18.3%,0.36,2,0
1116,2896,36,11W - 4L,73.3%,3.8,8.6,401,22.5%,71.9%,747.2,33.2%,0.28,6,0
1116,2896,46,6W - 7L,46.2%,4.3,9,452,24.3%,65.7%,712.7,31.2%,0.31,5,0
1116,2896,3,3W - 0L,100%,4.2,7.8,430,22.3%,69.1%,716.8,24.3%,0.49,2,0
1116,2896,7,7W - 1L,87.5%,4.6,8.1,411,20.1%,71.1%,619.5,23.9%,0.45,1,0
1116,2896,131,0W - 1L,0%,1.4,8.5,370,23.1%,100%,724,25.6%,0.23,-,0
113,3845,103,4W - 7L,36.4%,2.5,5,326,18.1%,72.9%,293.6,12.3%,0.32,2,0
113,3845,154,12W - 19L,38.7%,2.4,5.1,329,18.7%,67.3%,322.5,15.2%,0.27,6,0
113,3845,55,6W - 5L,54.5%,3.1,4.5,320,17%,78%,428.5,18.1%,0.36,1,0
113,3845,153,0W - 2L,0%,1.1,3.9,257,15.3%,77.8%,226.3,7.7%,0.23,-,0
113,3845,69,0W - 1L,0%,0.7,4.1,276,17.1%,66.7%,224.7,17.5%,0.16,-,0
113,3845,64,1W - 0L,100%,-,7.1,418,20%,68.4%,439.2,15%,0.46,-,0
113,3845,34,10W - 5L,66.7%,3.9,4.4,323,17.2%,84.1%,274.1,11.4%,0.46,2,0
113,3845,77,6W - 4L,60%,2.9,4.5,320,17.8%,78.7%,321.7,15.3%,0.3,1,0
113,3845,133,0W - 1L,0%,1.0,5.4,296,17.1%,66.7%,189.4,9.4%,0.12,-,0
113,3845,106,12W - 6L,66.7%,3.1,4.3,308,16.4%,64.9%,297.7,13.6%,0.33,1,0
113,3845,47,14W - 5L,73.7%,4.1,5.1,340,18.3%,68.9%,367.1,15.6%,0.39,4,0
1Jiang,5421,1,8W - 4L,66.7%,4.4,8.5,433,22.9%,63.1%,781,28.6%,0.34,9,0
1Jiang,5421,162,4W - 5L,44.4%,1.8,7.8,360,20.5%,55.2%,447.8,19.2%,0.19,2,0
1Jiang,5421,35,6W - 3L,66.7%,4.2,9.2,430,23.3%,59.4%,602.8,25.5%,0.23,1,0
1Jiang,5421,119,3W - 0L,100%,5.3,9.2,450,21.1%,46.7%,650.3,24.1%,0.27,2,0
1Jiang,5421,72,2W - 1L,66.7%,4.6,9.6,465,23.5%,55.6%,635.8,27.7%,0.3,2,0
1Jiang,5421,28,0W - 2L,0%,2.3,6.9,328,20.5%,81.3%,500.5,22.6%,0.13,1,0
1Jiang,5421,134,0W - 1L,0%,0.0,8.4,326,21%,0%,151.4,7.4%,0,-,0
1Jiang,5421,96,0W - 1L,0%,3.0,8.4,411,23.4%,66.7%,537.8,22.9%,0.14,-,0
1Jiang,5421,74,1W - 0L,100%,17.0,9.5,540,26.4%,81%,872.9,31.6%,0.51,1,0
1Jiang,5421,155,1W - 0L,100%,-,10.6,512,25%,56.3%,718,29.5%,0.34,-,0
1Jiang,5421,32,0W - 1L,0%,1.0,8.8,373,22.1%,50%,512.1,27.7%,0.18,-,0
1Jiang,5421,15,1W - 0L,100%,5.0,6.2,365,19.1%,71.4%,777,19.5%,0.55,-,0
1xn,5177,50,3W - 5L,37.5%,3.6,9.8,441,25.2%,65.4%,638.6,32.4%,0.17,-,-
1xn,5177,100,9W - 4L,69.2%,4.9,9.3,449,23.5%,66.8%,672.2,26.9%,0.38,-,-
1xn,5177,147,2W - 14L,12.5%,2.1,9.5,413,24.1%,60.4%,539.2,29.2%,0.18,-,-
1xn,5177,146,2W - 3L,40%,4.1,3.1,364,20.5%,90.7%,717.1,29.7%,0.34,-,-
1xn,5177,167,3W - 1L,75%,9.3,10.5,477,25.8%,84.9%,691.1,35.7%,0.25,-,-
1xn,5177,121,2W - 0L,100%,8.0,8.9,482,23.5%,70.2%,695.9,24.4%,0.54,-,-
1xn,5177,21,1W - 2L,33.3%,3.3,9.6,381,22.8%,53.3%,367.4,22.7%,0.13,-,-
1xn,5177,11,0W - 2L,0%,1.2,9.6,393,23.8%,52.4%,710,39.5%,0.08,-,-
1xn,5177,129,1W - 0L,100%,14.0,9.9,475,23.1%,56%,577.6,21.2%,0.42,-,-
1xn,5177,115,0W - 2L,0%,1.3,9,373,22.7%,46.7%,767,33.7%,0.13,-,-
1xn,5177,135,1W - 2L,33.3%,3.3,10.3,411,23.9%,70%,395.1,22.7%,0.14,-,-
1xn,5177,158,2W - 5L,28.6%,4.5,10.3,445,25.1%,64.8%,626.9,30%,0.24,-,-
23Nino,5568,66,1W - 2L,33.3%,1.7,8.3,411,22.8%,39.8%,623.1,23.8%,0.19,1,0
23Nino,5568,119,1W - 1L,50%,2.2,8.6,447,24.1%,38.6%,553,23.7%,0.21,-,0
23Nino,5568,155,1W - 1L,50%,4.7,8.5,392,22%,63.3%,543.4,24.3%,0.28,1,0
23Nino,5568,75,0W - 1L,0%,0.7,6.3,318,19.7%,50%,653.5,22.4%,0.15,-,0
23Nino,5568,162,1W - 0L,100%,4.0,6.8,363,18.9%,66.7%,421.2,16.6%,0.45,-,0
23Nino,5568,53,0W - 1L,0%,0.5,8.5,359,22.6%,40%,578.3,32.1%,0.09,-,0
23Nino,5568,138,0W - 1L,0%,2.0,6.2,310,18.2%,66.7%,447.7,20%,0.23,-,0
