Season,Split,Champion,Picks,Bans,Presence,Wins,Losses,Win Rate,KDA,Avg BT,Avg GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
S11,Spring,Kaisa,140,1900,871,82%,1001,899,53%,4.1,4.9,31:51,9.2,468,442,1.9,-35,21
S11,Spring,Udyr,98,1135,1343,74%,569,566,50%,3.9,4.1,31:49,6.3,218,347,6.5,212,300
S11,Spring,Thresh,92,803,1556,70%,418,385,52%,3.2,4.1,32:07,1.1,114,233,2.4,58,45
S11,Spring,Gnar,119,1202,1061,67%,657,545,55%,3.1,6.3,32:09,7.8,464,382,5.6,188,169
S11,Spring,Rell,153,1217,1044,67%,623,594,51%,2.5,5.1,31:49,1.1,152,232,0.7,-83,-69
S11,Spring,Seraphine,152,465,1766,66%,251,214,54%,4.8,3.7,31:25,5.4,315,322,-9,-226,-138
S11,Spring,Renekton,72,871,1308,65%,471,400,54%,2.9,4.8,31:59,8.0,373,385,8.6,368,173
S11,Spring,Lillia,149,1013,976,59%,493,520,49%,3.4,4.4,32:19,6.4,388,345,3.1,35,102
S11,Spring,Olaf,66,773,1205,59%,389,384,50%,3.2,4.2,31:47,6.0,357,347,-1.1,-34,-58
S11,Spring,Orianna,67,1070,905,59%,559,511,52%,4.4,7.4,32:28,8.7,472,394,4.2,22,56
S11,Spring,Hecarim,30,980,917,56%,502,478,51%,3.8,4.5,31:58,5.9,297,341,-4.1,-48,-134
S11,Spring,Alistar,4,1207,653,55%,612,595,51%,3.0,7.2,31:47,1.1,147,232,-0.7,-67,-55
S11,Spring,Camille,134,486,1230,51%,254,232,52%,2.7,5.0,31:14,7.7,426,392,-0.9,28,-63
S11,Spring,Gragas,28,951,611,46%,488,463,51%,2.9,6.1,31:54,4.9,345,305,-7.6,-266,-117
S11,Spring,Azir,120,792,709,45%,407,385,51%,3.5,6.1,32:06,8.9,543,404,3.4,55,159
S11,Spring,Tristana,93,689,744,43%,372,317,54%,3.9,4.8,31:16,9.3,494,445,-1.4,247,107
S11,Spring,Syndra,88,703,623,39%,311,392,44%,3.0,7.5,32:50,8.5,492,379,3.1,-16,-52
S11,Spring,Senna,146,429,737,35%,217,212,51%,4.3,4.1,31:55,3.8,499,341,-6.5,380,261
S11,Spring,Twisted Fate,96,335,822,34%,177,158,53%,4.1,4.9,31:20,7.8,427,405,-8.3,266,-153
S11,Spring,Xayah,135,780,341,33%,385,395,49%,3.7,7.4,32:24,9.4,514,432,-0.6,26,3
S11,Spring,Lucian,50,373,706,32%,192,181,51%,3.2,5.6,31:46,9.0,513,426,6.7,331,23
S11,Spring,Galio,25,564,513,32%,290,274,51%,3.5,6.3,31:20,3.6,265,284,-4.8,-178,-50
S11,Spring,Zoe,139,420,652,32%,205,215,49%,4.7,4.9,31:58,8.0,539,378,-0.3,99,12
S11,Spring,Nidalee,63,500,524,30%,258,242,52%,4.1,4.3,32:03,6.5,401,362,2.8,148,156
S11,Spring,Leona,48,680,291,29%,339,341,50%,2.5,8.1,31:45,1.2,123,233,1.3,-24,-65
S11,Spring,Graves,29,606,351,28%,281,325,46%,3.5,5.0,32:17,7.0,369,374,4.4,81,152
S11,Spring,Aatrox,1,511,432,28%,248,263,49%,2.9,7.9,31:52,7.7,458,377,2.6,73,135
S11,Spring,Viktor,104,626,306,28%,288,338,46%,3.5,7.8,32:40,8.7,616,392,-0.7,-192,2
S11,Spring,Taliyah,131,285,610,27%,170,115,60%,3.6,4.1,31:46,6.7,428,370,5.6,241,382
S11,Spring,Aphelios,147,521,353,26%,267,254,51%,3.4,5.3,32:13,9.3,507,432,6,350,59
S11,Spring,Pantheon,68,180,683,26%,90,90,50%,2.8,4.0,31:28,5.5,348,339,-7.3,-34,-310
S11,Spring,Sion,82,536,264,24%,239,297,45%,2.8,7.6,32:08,6.9,358,334,-11.9,-500,-129
S11,Spring,Jayce,36,349,397,22%,180,169,52%,2.7,7.4,31:10,8.4,629,403,11,335,25
S11,Spring,Nautilus,62,511,202,21%,239,272,47%,2.5,8.3,31:42,1.3,153,233,0.6,-79,-53
S11,Spring,Samira,151,364,329,21%,167,197,46%,3.3,5.5,31:27,8.8,391,422,0.5,38,11
S11,Spring,Gangplank,26,320,335,19%,145,175,45%,2.9,7.3,32:54,8.1,587,418,2.6,321,-64
S11,Spring,Yone,150,225,404,19%,105,120,47%,2.8,6.9,30:25,8.5,441,406,-2.4,-64,7
S11,Spring,Irelia,32,184,428,18%,97,87,53%,2.3,6.5,31:44,8.6,392,409,16.1,457,89
S11,Spring,Sett,148,338,267,18%,163,175,48%,2.4,6.8,31:30,4.2,298,301,0.2,47,-57
