Event,Team 1,Team 1 ID,Team 2,Team 2 ID,Record,Stage,Patch,Date
EBL Season 9,Zero Tenacity,1320,Crvena zvezda Esports,1325,1 - 0,TIEBREAKERS,11.15,2021-07-30
CBLOL Academy Split 2 2022,LOUD Academy,1614,FURIA Academy,1611,1 - 0,WEEK9,12.14,2022-08-09
LVP SL Spring 2024,Movistar KOI,2258,UCAM Tokiers,2263,0 - 1,TIEBREAKERS,14.4,2024-03-14
Prime League Summer 2023,E WIE EINFACH E-SPORTS,1904,Unicorns Of Love Sexy Edition,1911,0 - 1,WEEK8,13.13,2023-07-21
LEC Spring 2021,Rogue,1154,Fnatic,1150,1 - 0,WEEK8,11.5,2021-03-14
LCL Spring 2022,One Breath Gaming,1527,Black Star Gaming,1678,1 - 0,WEEK2,12.3,2022-02-20
MSI 2024,Bilibili Gaming,2138,T1,2144,-,ROUND4,,2024-05-18
Ultraliga Spring 2024,Iron Wolves,2316,Zero Tenacity,2310,0 - 1,WEEK7,14.3,2024-02-28
LCK Spring Playoffs 2022,Gen.G eSports,1439,T1,1438,1 - 3,FINALS,12.5,2022-04-02
CBLOL Split 2 2023,Vivo Keyd Stars,1822,RED Canids,1829,1 - 0,WEEK9,13.14,2023-08-06
LCO Split 2 2021,MAMMOTH,1354,Legacy Esports,1353,1 - 0,WEEK9,11.15,2021-08-11
Elite Series Summer 2022,KV Mechelen Esports,1544,Sector One,1545,0 - 1,TIEBREAKERS,12.12,2022-07-20
TCL Spring 2023,Istanbul Wildcats,1846,Papara SuperMassive,1848,1 - 0,WEEK6,13.4,2023-03-17
LCK CL Summer Playoffs 2023,NS Challengers,1929,DK Challengers,1923,3 - 2,FINALS,13.14,2023-08-22
LFL Spring Playoffs 2024,Karmine Corp Blue,2227,Team BDS Academy,2224,3 - 1,FINALS,14.5,2024-04-05
SuperLiga Spring Playoffs 2023,Heretics Academy,1913,Movistar Riders,1917,0 - 3,FINALS,13.5,2023-04-01
LFL Spring Playoffs 2021,Karmine Corp,1223,Misfits Premier,1225,3 - 0,FINALS,11.5,2021-03-25
VCS Spring Playoffs 2023,SBTC Esports,1865,GAM Esports,1862,1 - 3,FINALS,13.6,2023-04-23
CBLOL Academy Split 2 2022,Liberty Academy,1618,Rensga Academy,1617,1 - 0,WEEK9,12.14,2022-08-09
EBL Season 9,Asus ROG Elite,1319,NK Osijek Esport,1370,1 - 0,TIEBREAKERS,11.15,2021-07-29
LCL Summer Playoffs 2021,CrowCrowd,1211,Unicorns Of Love,1217,2 - 3,FINALS,11.16,2021-09-04
LPL Spring Playoffs 2021,Funplus Phoenix,1104,Royal Never Give Up,1109,1 - 3,FINALS,11.6,2021-04-18
LCK CL Summer Playoffs 2022,NS Challengers,1588,DK Challengers,1582,3 - 2,FINALS,12.14,2022-08-26
LVP SL Spring 2024,UCAM Tokiers,2263,GIANTX Pride,2264,0 - 1,WEEK9,14.4,2024-03-14
World Championship Play-In 2022,Royal Never Give Up,1429,Detonation FocusMe,1482,3 - 1,QUAL.ROUND,12.18,2022-10-04
EBL Spring Playoffs 2022,Valiance,1638,Crvena zvezda Esports,1637,0 - 3,FINALS,12.5,2022-03-19
Prime League Summer 2023,Berlin International Gaming,1903,MOUZ,1908,1 - 0,WEEK8,13.13,2023-07-21
LCL Spring 2022,Dragon Army,1524,CrowCrowd,1523,0 - 1,WEEK2,12.3,2022-02-20
MSI 2024,T1,2144,G2 Esports,2169,3 - 0,ROUND3,14.8,2024-05-17
LEC Spring 2021,G2 Esports,1151,SK Gaming,1155,1 - 0,WEEK8,11.5,2021-03-14
Ultraliga Spring 2024,devils.one,2433,Forsaken,2116,0 - 1,WEEK7,14.3,2024-02-28
CBLOL Split 2 2023,KaBuM! e-Sports,1826,paiN Gaming,1828,0 - 1,WEEK9,13.14,2023-08-06
LCK Spring Playoffs 2022,Gen.G eSports,1439,DWG KIA,1412,3 - 2,SEMIFINALS,12.5,2022-03-27
Elite Series Summer 2022,The Agency,1749,KRC Genk Esports,1543,0 - 1,WEEK7,12.12,2022-07-20
LCO Split 2 2021,PEACE,1356,ORDER,1355,1 - 0,WEEK9,11.15,2021-08-11
TCL Spring 2023,Besiktas Esports,1842,FUT Esports,1840,0 - 1,WEEK6,13.4,2023-03-17
EBL Season 9,x25 Esports,1321,Zero Tenacity,1320,0 - 1,WEEK7,11.15,2021-07-29
VCS Spring Playoffs 2023,Cerberus Esports,1861,SBTC Esports,1865,0 - 3,ROUND2,13.6,2023-04-22
CBLOL Academy Split 2 2022,INTZ Academy,1612,RED Academy,1616,0 - 1,WEEK9,12.14,2022-08-09
LFL Spring Playoffs 2024,Gentle Mates,2228,Karmine Corp Blue,2227,1 - 3,SEMIFINALS,14.5,2024-03-29
LCK CL Summer Playoffs 2023,DRX Challengers,1924,DK Challengers,1923,0 - 3,ROUND3,13.14,2023-08-21
LVP SL Spring 2024,Barça eSports,2261,ZETA,2372,0 - 1,WEEK9,14.4,2024-03-14
LCL Spring 2022,CTRL PLAY,1661,Unicorns Of Love,1529,0 - 1,WEEK2,12.3,2022-02-20
LEC Spring 2021,Astralis,1147,MAD Lions,1152,1 - 0,WEEK8,11.5,2021-03-14
Prime League Summer 2023,FC Schalke 04 Evolution,1906,Eintracht Spandau,1905,0 - 1,WEEK8,13.13,2023-07-21
Ultraliga Spring 2024,Team ESCA Gaming,2300,Back2TheGame,2432,0 - 1,WEEK7,14.3,2024-02-28
SuperLiga Spring Playoffs 2023,Movistar Riders,1917,Rebels Gaming,1915,3 - 1,SEMIFINALS,13.5,2023-03-23
CBLOL Split 2 2023,Liberty,1831,FURIA Esports,1824,1 - 0,WEEK9,13.14,2023-08-06
LFL Spring Playoffs 2021,Vitality.Bee,1228,Misfits Premier,1225,1 - 3,ROUND3,11.5,2021-03-24
Elite Series Summer 2022,Team 7AM,1546,KV Mechelen Esports,1544,1 - 0,WEEK7,12.12,2022-07-20
EBL Spring Playoffs 2022,Auxesis Esports,1631,Valiance,1638,0 - 3,SEMIFINALS,12.4,2022-03-13
LCK Spring Playoffs 2022,T1,1438,Kwangdong Freecs,1411,3 - 0,SEMIFINALS,12.5,2022-03-26
TCL Spring 2023,5 Ronin,1841,NASR eSports Turkey,1847,0 - 1,WEEK6,13.4,2023-03-17
LPL Spring Playoffs 2021,Edward Gaming,1110,Royal Never Give Up,1109,2 - 3,SEMIFINALS,11.6,2021-04-13
MSI 2024,Gen.G eSports,2145,Bilibili Gaming,2138,3 - 1,ROUND4,14.8,2024-05-16
LCO Split 2 2021,Pentanet.GG,1357,Gravitas,1352,1 - 0,WEEK9,11.15,2021-08-11
World Championship Play-In 2022,Evil Geniuses,1444,MAD Lions,1464,3 - 0,QUAL.ROUND,12.18,2022-10-04
LCL Summer Playoffs 2021,Unicorns Of Love,1217,One Breath Gaming,1215,3 - 2,ROUND3,11.15,2021-08-22
LCK CL Summer Playoffs 2022,DK Challengers,1582,DRX Challengers,1583,3 - 2,SEMIFINALS,12.14,2022-08-23
EBL Season 9,Asus ROG Elite,1319,Crvena zvezda Esports,1325,0 - 1,WEEK7,11.15,2021-07-29
CBLOL Academy Split 2 2022,Flamengo Academy,1610,paiN Academy,1615,0 - 1,WEEK9,12.14,2022-08-09
LCK CL Summer Playoffs 2023,HLE Challengers,1926,DRX Challengers,1924,0 - 3,ROUND2,13.14,2023-08-18
LFL Spring Playoffs 2024,Gentle Mates,2228,Vitality.Bee,2232,3 - 0,ROUND2,14.5,2024-03-28
