TeamA,TeamB,Event,Season,Split
FURIA Academy,Flamengo Academy,CBLOL Academy Split 1 Playoffs 2021,S21,Spring
BRO Challengers,DRX Challengers,LCK CL Summer 2021,S21,Summer
LDLC OL,Team BDS,LFL Summer 2021,S21,Summer
Phoenix Esports,Comanchero Gaming,TCL Div2 Winter 2024,S24,Spring
Venus,Lynch Esports,TCL Div2 Winter 2024,S24,Spring
Besiktas Esports,Eintracht Spandau,EMEA Masters Spring 2024,S24,Spring
Heretics Academy,Movistar Riders,SuperLiga Summer 2023,S23,Summer
Macko Esports,aNc Outplayed,PG Nationals Spring Playoffs 2023,S23,Spring
G2 Esports,MAD Lions KOI,LEC Winter Playoffs 2024,S24,Spring
Cream Real Betis,UCAM Esports Club,LVP Superliga Spring 2021,S21,Spring
Anubis Gaming,GnG Esports,Arabian League Spring 2023,S23,Spring
Detonation FocusMe,Sengoku Gaming,LJL Spring Playoffs 2023,S23,Spring
X7 Esports,Dusty,NLC Summer Playoffs 2022,S22,Summer
SPIKE Syndicate,BeFive,EBL Spring Playoffs 2024,S24,Spring
FUT Esports,Dsyre Esports,EMEA Masters Play-In Summer 2023,S23,Summer
EGN Esports,For The Win Esports,LPLOL Spring Playoffs 2022,S22,Spring
Bifrost,X7 Esports,NLC Spring Playoffs 2022,S22,Spring
BRUTE,Entropiq,Hitpoint Masters Summer Playoffs 2023,S23,Summer
Team Oplon,Team MCES,LFL Promotion 2023,S22,Summer
Edward Gaming,Funplus Phoenix,LPL Summer Playoffs 2021,S21,Summer
Flamengo Academy,Rensga Academy,CBLOL Academy Split 1 Playoffs 2021,S21,Spring
Cerberus Esports,GAM Esports,VCS Winter Playoffs 2021,S21,Summer
BRO Challengers,DK Challengers,Kespa Cup 2021,S21,Summer
AGO ROGUE,K1CK,Ultraliga Season 5,S21,Spring
Royal Never Give Up,T1,MSI 2022,S22,Spring
KRC Genk Esports,The Agency,Elite Series Summer Playoffs 2022,S22,Summer
BRO Challengers,HLE Challengers,LCK CL Summer 2021,S21,Summer
Misfits Premier,Karmine Corp,LFL Summer 2021,S21,Summer
Mubeccel Espor,Hallow Crows,TCL Div2 Winter 2024,S24,Spring
Giants,Heretics Academy,SuperLiga Summer 2023,S23,Summer
Team BDS Academy,Besiktas Esports,EMEA Masters Spring 2024,S24,Spring
Dsyre Esports,aNc Outplayed,PG Nationals Spring Playoffs 2023,S23,Spring
GnG Esports,Triple Esports,Arabian League Spring 2023,S23,Spring
BCN Squad,S2V Esports,LVP Superliga Spring 2021,S21,Spring
Detonation FocusMe,SoftBank Hawks Gaming,LJL Spring Playoffs 2023,S23,Spring
JD|XL,X7 Esports,NLC Summer Playoffs 2022,S22,Summer
Anorthosis Famagusta Esports,Anubis Gaming,EMEA Masters Play-In Summer 2023,S23,Summer
Diamant Esports,BeFive,EBL Spring Playoffs 2024,S24,Spring
Team BDS,MAD Lions KOI,LEC Winter Playoffs 2024,S24,Spring
Dusty,Bifrost,NLC Spring Playoffs 2022,S22,Spring
LSB Challengers,HLE Challengers,LCK CL Summer 2021,S21,Summer
Solary,Gamers Origin,LFL Summer 2021,S21,Summer
BRO Challengers,Weibo Youth,Kespa Cup 2021,S21,Summer
EGN Esports,White Dragons,LPLOL Spring Playoffs 2022,S22,Spring
eSuba,BRUTE,Hitpoint Masters Summer Playoffs 2023,S23,Summer
Comanchero Gaming,Kim Esports,TCL Div2 Winter 2024,S24,Spring
Guasones,Movistar Riders,SuperLiga Summer 2023,S23,Summer
T1,G2 Esports,MSI 2022,S22,Spring
Edward Gaming,Team WE,LPL Summer Playoffs 2021,S21,Summer
The Agency,mCon LG UltraGear,Elite Series Summer Playoffs 2022,S22,Summer
Team Oplon,Mirage Elyandra,LFL Promotion 2023,S22,Summer
Cream Real Betis,BCN Squad,LVP Superliga Spring 2021,S21,Spring
Geekay Esports,3BL Esports,Arabian League Spring 2023,S23,Spring
Geekay Esports,Eintracht Spandau,EMEA Masters Spring 2024,S24,Spring
FURIA Academy,RED Academy,CBLOL Academy Split 1 Playoffs 2021,S21,Spring
Luxury Esports,Burst The Sky Esports,VCS Winter Playoffs 2021,S21,Summer
K1CK,Illuminar Gaming,Ultraliga Season 5,S21,Spring
Axolotl,Dsyre Esports,PG Nationals Spring Playoffs 2023,S23,Spring
X7 Esports,Astralis Talent,NLC Summer Playoffs 2022,S22,Summer
Team GO,WLGaming Esports,EMEA Masters Play-In Summer 2023,S23,Summer
Sengoku Gaming,FENNEL,LJL Spring Playoffs 2023,S23,Spring
Lupus Esports,BeFive,EBL Spring Playoffs 2024,S24,Spring
Dusty,Riddle Esports,NLC Spring Playoffs 2022,S22,Spring
MAD Lions KOI,Fnatic,LEC Winter Playoffs 2024,S24,Spring
GameWard,IZI Dream,LFL Summer 2021,S21,Summer
Afreeca Challengers,DK Challengers,LCK CL Summer 2021,S21,Summer
DK Challengers,HLE Challengers,Kespa Cup 2021,S21,Summer
EGN Esports,OFFSET Esports,LPLOL Spring Playoffs 2022,S22,Spring
Ascendance,Phoenix Esports,TCL Div2 Winter 2024,S24,Spring
KOI Academy,Barça eSports,SuperLiga Summer 2023,S23,Summer
Entropiq,eSuba,Hitpoint Masters Summer Playoffs 2023,S23,Summer
Royal Never Give Up,Evil Geniuses,MSI 2022,S22,Spring
RA AD,Fox Gaming,Arabian League Spring 2023,S23,Spring
eMonkeyz,UCAM Esports Club,LVP Superliga Spring 2021,S21,Spring
Team WE,Funplus Phoenix,LPL Summer Playoffs 2021,S21,Summer
Team MCES,IZI Dream,LFL Promotion 2023,S22,Summer
Team 7AM,mCon LG UltraGear,Elite Series Summer Playoffs 2022,S22,Summer
Burst The Sky Esports,GAM Esports,VCS Winter Playoffs 2021,S21,Summer
K1CK,PDW,Ultraliga Season 5,S21,Spring
GTZ Esports,Entropiq,EMEA Masters Play-In Summer 2023,S23,Summer
Geekay Esports,Karmine Corp Blue,EMEA Masters Spring 2024,S24,Spring
Vitality.Bee,Team MCES,LFL Summer 2021,S21,Summer
Macko Esports,aNc Outplayed,PG Nationals Spring Playoffs 2023,S23,Spring
Rensga Academy,Vorax Academy,CBLOL Academy Split 1 Playoffs 2021,S21,Spring
SK Gaming,Fnatic,LEC Winter Playoffs 2024,S24,Spring
SPIKE Syndicate,Diamant Esports,EBL Spring Playoffs 2024,S24,Spring
Shadow EK,Weibo Youth,Kespa Cup 2021,S21,Summer
KT Challengers,NS Challengers,LCK CL Summer 2021,S21,Summer
FENNEL,Burning Core,LJL Spring Playoffs 2023,S23,Spring
JD|XL,Dusty,NLC Summer Playoffs 2022,S22,Summer
BISONS ECLUB,UCAM Tokiers,SuperLiga Summer 2023,S23,Summer
White Dragons,For The Win Esports,LPLOL Spring Playoffs 2022,S22,Spring
NONAME,PCIFIC Espor,TCL Div2 Winter 2024,S24,Spring
T1,Royal Never Give Up,MSI 2022,S22,Spring
MAD Lions Madrid,Team Queso,LVP Superliga Spring 2021,S21,Spring
BRUTE,Dynamo Eclot,Hitpoint Masters Summer Playoffs 2023,S23,Summer
Bifrost,X7 Esports,NLC Spring Playoffs 2022,S22,Spring
Anubis Gaming,Nigma Galaxy Male,Arabian League Spring 2023,S23,Spring
LNG Esports,Edward Gaming,LPL Summer Playoffs 2021,S21,Summer
Mirage Elyandra,IZI Dream,LFL Promotion 2023,S22,Summer
AGO ROGUE,Illuminar Gaming,Ultraliga Season 5,S21,Spring
KRC Genk Esports,The Agency,Elite Series Summer Playoffs 2022,S22,Summer
Cerberus Esports,Luxury Esports,VCS Winter Playoffs 2021,S21,Summer
Nigma Galaxy Male,Dsyre Esports,EMEA Masters Play-In Summer 2023,S23,Summer
Gamers Origin,Team MCES,LFL Summer 2021,S21,Summer
MAD Lions KOI,Team Vitality,LEC Winter Playoffs 2024,S24,Spring
T1 Challengers,Gen.G Challengers,LCK CL Summer 2021,S21,Summer
BRO Challengers,Shadow Battlica,Kespa Cup 2021,S21,Summer
Eintracht Spandau,Nigma Galaxy Male,EMEA Masters Spring 2024,S24,Spring
S2V Esports,Movistar Riders,LVP Superliga Spring 2021,S21,Spring
Nigma Galaxy Male,RA AD,Arabian League Spring 2023,S23,Spring
Rebels Gaming,Fnatic TQ,SuperLiga Summer 2023,S23,Summer
Venus,Hallow Crows,TCL Div2 Winter 2024,S24,Spring
SoftBank Hawks Gaming,AXIZ,LJL Spring Playoffs 2023,S23,Spring
Evil Geniuses,G2 Esports,MSI 2022,S22,Spring
LOUD Academy,RED Academy,CBLOL Academy Split 1 Playoffs 2021,S21,Spring
Astralis Talent,Riddle Esports,NLC Summer Playoffs 2022,S22,Summer
Diamant Esports,Anubis Gaming,EMEA Masters Play-In Summer 2023,S23,Summer
Team WE,Edward Gaming,LPL Summer Playoffs 2021,S21,Summer
K1CK,devils.one,Ultraliga Season 5,S21,Spring
Dusty,Vanir,NLC Spring Playoffs 2022,S22,Spring
Team MCES,Team Oplon,LFL Promotion 2023,S22,Summer
Team BDS,Karmine Corp,LFL Summer 2021,S21,Summer
Orbit Anonymo,Zero Tenacity,Ultraliga Season 9 Playoffs 2023,S23,Spring
Phoenix Esports,NONAME,TCL Div2 Winter Playoffs 2024,S24,Spring
G2 Esports,Team BDS,LEC Winter Playoffs 2024,S24,Spring
LSB Challengers,DK Challengers,Kespa Cup 2021,S21,Summer
DRX Challengers,BRO Challengers,LCK CL Summer 2021,S21,Summer
Orbit Anonymo,Team BDS Academy,EMEA Masters Spring 2024,S24,Spring
SuperMassive Blaze Academy,Besiktas Academy,Turkey Academy Winter 2022,S22,Spring
G2 Arctic,Vodafone Giants.Spain,LVP Superliga Spring 2021,S21,Spring
Giants,Guasones,SuperLiga Summer 2023,S23,Summer
Triple Esports,3BL Esports,Arabian League Spring 2023,S23,Spring
JD Gaming,LNG Esports,LPL Summer Playoffs 2023,S23,Summer
PCIFIC Espor,Ascendance,TCL Div2 Winter 2024,S24,Spring
Saigon Buffalo,GAM Esports,VCS Winter 2021,S21,Summer
PSG Talon,Royal Never Give Up,MSI 2022,S22,Spring
Nord Esports,WLGaming Esports,EMEA Masters Play-In Summer 2023,S23,Summer
LNG Esports,Funplus Phoenix,LPL Summer Playoffs 2021,S21,Summer
NASR eSports Turkey Academy,SuperMassive Blaze Academy,Turkey Academy Winter 2022,S22,Spring
Misfits Premier,Solary,LFL Summer 2021,S21,Summer
BRO Challengers,LSB Challengers,LCK CL Summer 2021,S21,Summer
For The Win Esports,White Dragons,LPLOL Summer Playoffs 2022,S22,Summer
X7 Esports,Bifrost,NLC Summer Playoffs 2022,S22,Summer
Riddle Esports,JD|XL,NLC Spring Playoffs 2022,S22,Spring
Illuminar Gaming,PDW,Ultraliga Season 5,S21,Spring
Heretics Academy,Rebels Gaming,SuperLiga Summer 2023,S23,Summer
Movistar Riders,UCAM Esports Club,LVP Superliga Spring 2021,S21,Spring
Fox Gaming,Geekay Esports,Arabian League Spring 2023,S23,Spring
DRX Challengers,HLE Challengers,Kespa Cup 2021,S21,Summer
NONAME,Lynch Esports,TCL Div2 Winter Playoffs 2024,S24,Spring
SK Gaming,Team Heretics,LEC Winter Playoffs 2024,S24,Spring
Lynch Esports,Kim Esports,TCL Div2 Winter 2024,S24,Spring
