Team Name,TeamId,Event,Roster Names,Roster Ids,Region,Record,Average Game Duration,Ally Bans,Blue Ally Bans,Red Ally Bans,Enemy Bans,Blue Enemy Bans,Red Enemy Bans,Damage Per Minute,First Blood,Kills Per Game,Deaths Per Game,Average Kill / Death Ratio,Average Assists / Kill,Plates / game (TOP|MID|BOT),Dragons / game,Dragons at 15 min,Herald / game,Nashors / game
LNG Esports S14,2139,LPL Spring Playoffs 2024,CN,2W - 3L,32:36,Zika WeiWei Scout GALA Hang,4473 2124 610 1931 2670,8 75 131 55 96 93,75 8 158 96 70 77,8 46 55 93 131,103 122 62 133 162 120,62 103 122 133 55 162 2 100 103 120 162,2 100 103 120 162,2117,40%,9.2,12,0.7,2.1,-,1.6 (38%),-,-,0.6 (50%)
Vega Squadron S12,1530,LCL Spring 2022,CIS,0W - 4L,28:28,Ques ts The Laatch Tristesse,3105 4534 4535 4536 4537,36 155 158 3 92 111,36 92 111 134 155,158 3 36 155 96 110,35 38 61 12 37 11,22 35 37 38 61 38 61 12 35 11 34,38 61 12 35 11 34,1571,25%,7.5,18,0.5,1.7,3 (1.3|0.3|1.5),0.5 (13.3%),0.5,0.75 (37.5%),0.25 (25%)
Zoos Gaming S11,1359,LCS Proving Grounds Summer 2021,NA,1W - 4L,33:30,allorim Griffin Tuesday Raheen Rhino,857 862 1018 3803 3185,96 46 136 72 36 115,96 46 66 72 110 76,36 96 46 62 72 115,154 67 138 100 94 110,47 67 100 138 88 99 154 8 67 99 100 92,154 8 67 99 100 92,1543,60%,8.6,15.8,0.9,2.4,-,2.6 (52.7%),1,1.4 (70%),0.6 (46.7%)
Fenerbahce Esports S12,1487,TCL Summer Playoffs 2022,TR,8W - 6L,31:37,Naak SeongHwan stillnumb BAO Carry,4427 694 2766 2649 4421,18 121 120 69 122 62,121 18 120 122 51 4,69 18 62 120 121 103,144 155 3 150 2 50,144 3 155 150 50 158 2 155 108 3 150 144,2 155 108 3 150 144,2138,42.9%,13.7,12.9,2,2.5,3.93 (0.4|0.5|3),1.9 (43.8%),0.57,0.93 (46.4%),0.43 (45.5%)
Golden Guardians S12,1446,LCS Championship 2022,NA,2W - 3L,37:39,Licorice River Ablazeolive Stixxay Olleh,852 2631 1288 580 232,150 144 121 18 43 94,18 94 103 150 43 120,121 144 150 43 131 62,146 34 144 121 38 69,121 144 146 3 46 131 34 146 38 50 51 138,34 146 38 50 51 138,2473,20%,12.4,14.8,1.3,2.7,3.8 (0.2|0|3.6),1.4 (31.7%),0.6,0.8 (40%),0.4 (40%)
Iron Wolves S11,1329,EU Masters Summer Play-In 2021,LT,1W - 5L,29:10,Zty Julbu Saulius Spectral Leo,1840 3950 3951 4059 2593,16 154 62 100 30 88,16 100 154 36 94 47,110 62 48 100 88 92,32 76 115 118 51 92,21 76 32 110 47 155 32 76 51 115 16 46,32 76 51 115 16 46,1981,33.3%,12.5,18.2,0.6,1.6,-,1.8 (45.8%),0.67,0.5 (25%),0 (0%)
Team BDS S12,1719,LEC Summer 2022,EUW,3W - 15L,32:40,Agresivoo Cinkrof nuc xmatty Limit,1468 949 3486 1591 1833,26 121 144 69 159 106,26 121 146 106 94 103,144 121 26 159 69 50,144 155 21 143 3 146,144 21 143 158 159 94 155 146 21 144 108 3,155 146 21 144 108 3,1900,50%,9.5,14.9,0.8,2.3,3.59 (1.1|0.5|2),2.1 (43.6%),1.06,0.82 (41.2%),0.24 (18.9%)
Domino Esport S13,1946,NLC Summer 2023,EUW,5W - 9L,31:04,Spooder Paresz Clover7 Blink Snabi,4982 5339 5248 4652 4987,142 158 69 163 36 138,69 8 138 55 36 142,142 158 163 36 46 69,66 18 162 28 62 163,66 28 163 55 46 153 18 66 62 162 103 51,18 66 62 162 103 51,2231,50%,13.9,16.1,1.2,2.3,4.57 (1.6|0.9|2.1),1.9 (41.5%),0.64,0.93 (46.4%),0.57 (39.3%)
BRO Challengers S13,1925,LCK CL Summer 2023,KR,17W - 25L,30:56,Kangin DDoiV Ivory Enosh Pollu,4219 4927 3717 4838 4865,103 77 142 135 35 162,103 77 155 162 47 7,103 142 77 135 35 133,69 46 142 72 93 55,142 46 163 55 158 72 69 93 46 72 103 77,69 93 46 72 103 77,2043,38.1%,11.7,11.7,1.6,2.3,3.31 (1.2|1|1.1),2 (45.4%),0.9,1.12 (56%),0.69 (52.2%)
NNO Prime S13,1909,Prime League Promotion 2024,DE,6W - 0L,30:53,Flamer Agurin Matislaw Notiko Lamabear,4956 1858 1952 5048 731,93 69 131 2 46 120,93 4 62 69 153 2,93 69 131 46 49 120,34 66 149 44 46 64,34 44 64 66 119 46 66 34 149 44 64 46,66 34 149 44 64 46,2712,83.3%,15.5,7.5,4.5,2.3,4.33 (1.8|1.5|1),3.2 (72.5%),1.33,1 (50%),1.33 (91.7%)
