Player Name,Player ID,Record,KDA,CSPM,GPM,Gold %,Kill Participation %,Damage Per Minute,Damage %,K+A/M,Solo Kills,Penta Kills,Champion A,Games A,Winrate A,Champion B,Games B,Winrate B,Champion C,Games C,Winrate C
2Cups S11 Spring,3580,9W - 9L,3.5,8.3,390,22.3%,64.6%,439.2,23.7%,0.29,1,-,Galio,4,50%,Orianna,3,33.3%,Irelia,3,33.3%
2Cups S11 Summer,3580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2Cups S12 Spring,3580,2W - 4L,2.4,7.5,340,20%,59%,421.4,21.9%,0.23,2,-,Viktor,2,50%,Akali,1,100%,Orianna,1,0%
2Cups S12 Summer,3580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2Cups S13 Spring,3580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2Cups S13 Summer,3580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2Cups S14 Spring,3580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5fire S11 Spring,2760,13W - 4L,3.8,7.8,408,21.6%,66.6%,588.2,28%,0.36,8,-,Twisted Fate,3,66.7%,Zoe,3,66.7%,Seraphine,2,100%
5fire S11 Summer,2760,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5fire S12 Spring,2760,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5fire S12 Summer,2760,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5fire S13 Spring,2760,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5fire S13 Summer,2760,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5fire S14 Spring,2760,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1roNN S11 Spring,3578,0W - 4L,1.2,1.3,203,13%,77.3%,96.5,6.7%,0.13,-,-,Rakan,2,0%,Leona,1,0%,Blitzcrank,1,0%
1roNN S11 Summer,3578,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1roNN S12 Spring,3578,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1roNN S12 Summer,3578,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1roNN S13 Spring,3578,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1roNN S13 Summer,3578,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1roNN S14 Spring,3578,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aliez S11 Spring,2325,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aliez S11 Summer,2325,2W - 20L,1.4,7.4,341,21.4%,57.3%,355.1,22.7%,0.16,-,-,Camille,4,0%,Viego,4,25%,Gwen,3,0%
Aliez S12 Spring,2325,6W - 11L,2.3,7.3,356,20.6%,49.4%,411.5,20.8%,0.21,-,-,Kennen,6,50%,Gwen,4,50%,Gnar,3,0%
Aliez S12 Summer,2325,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aliez S13 Spring,2325,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aliez S13 Summer,2325,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aliez S14 Spring,2325,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ace0 S11 Spring,4118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ace0 S11 Summer,4118,1W - 0L,8.0,8,370,20.7%,53.3%,303.6,17.6%,0.24,-,-,Syndra,1,100%,-,-,-,-,-,-
Ace0 S12 Spring,4118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ace0 S12 Summer,4118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ace0 S13 Spring,4118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ace0 S13 Summer,4118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ace0 S14 Spring,4118,11W - 9L,3.0,8.2,397,22.2%,71%,532.4,21.6%,0.28,2,-,Senna,3,66.7%,Varus,2,50%,Caitlyn,2,100%
Aboekra S11 Spring,3374,0W - 10L,1.0,7.3,341,21.2%,42.4%,377.9,21.6%,0.14,2,-,Shen,3,0%,Fiora,3,0%,Yorick,1,0%
Aboekra S11 Summer,3374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aboekra S12 Spring,3374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aboekra S12 Summer,3374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aboekra S13 Spring,3374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aboekra S13 Summer,3374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aboekra S14 Spring,3374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Balta129 S11 Spring,3161,2W - 6L,1.9,7.6,342,21.7%,57%,273.5,23.4%,0.14,-,-,Syndra,3,66.7%,Zoe,2,0%,Sylas,1,0%
Balta129 S11 Summer,3161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Balta129 S12 Spring,3161,12W - 10L,3.2,7.9,393,22.4%,66.1%,519.6,30%,0.27,8,-,Viktor,7,57.1%,Syndra,4,50%,Corki,2,100%
Balta129 S12 Summer,3161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Balta129 S13 Spring,3161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Balta129 S13 Summer,3161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Balta129 S14 Spring,3161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2T S11 Spring,4206,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2T S11 Summer,4206,2W - 0L,4.3,8.2,407,19.6%,51.6%,329.5,12.2%,0.43,-,-,Irelia,1,100%,Ryze,1,100%,-,-,-
2T S12 Spring,4206,14W - 20L,2.5,7.6,374,20.4%,58.5%,476.2,23.4%,0.32,14,-,Ahri,8,50%,Ryze,6,16.7%,Vex,5,60%
2T S12 Summer,4206,2W - 11L,1.2,8,373,21.1%,43.3%,546.5,26.9%,0.18,6,-,Akali,3,0%,Gnar,3,0%,Kassadin,1,0%
2T S13 Spring,4206,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2T S13 Summer,4206,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2T S14 Spring,4206,0W - 20L,1.0,7.8,362,21.2%,42%,492.3,22.9%,0.15,11,-,KSante,6,0%,Aatrox,6,0%,Jax,2,0%
5Kid S11 Spring,2660,6W - 8L,5.2,9.8,440,25.3%,72.4%,507,27.2%,0.3,1,-,Kaisa,3,33.3%,Ezreal,3,33.3%,Jinx,3,33.3%
5Kid S11 Summer,2660,8W - 10L,4.8,10.3,425,24.1%,56.1%,487.9,27%,0.19,1,-,Ezreal,4,50%,Varus,3,0%,Aphelios,3,66.7%
5Kid S12 Spring,2660,20W - 12L,3.8,9.5,434,24.3%,70.7%,535.8,28.1%,0.28,6,-,Aphelios,8,75%,Xayah,6,100%,Jinx,5,60%
