Event,Team 1 ID,Team 2 ID,Season,Split,Games,Result
CBLOL Academy Split 1 Playoffs 2021,1299,1298,11,Spring,5,1
LCK CL Summer 2021,1272,1271,11,Summer,1,1
LFL Summer 2021,1224,1219,11,Summer,1,1
TCL Div2 Winter 2024,2453,2457,14,Spring,1,0
EMEA Masters Spring 2024,2195,2249,14,Spring,5,1
SuperLiga Summer 2023,1913,1917,13,Summer,1,1
PG Nationals Spring Playoffs 2023,1898,1900,13,Spring,5,0
LEC Winter Playoffs 2024,2169,2170,14,Spring,5,0
LVP Superliga Spring 2021,1260,1267,11,Spring,1,1
Arabian League Spring 2023,2077,2080,13,Spring,1,1
LJL Spring Playoffs 2023,1835,1838,13,Spring,5,0
NLC Summer Playoffs 2022,1600,1605,12,Summer,5,1
EBL Spring Playoffs 2024,2408,2465,14,Spring,5,1
EMEA Masters Play-In Summer 2023,1840,1899,13,Summer,3,1
LPLOL Spring Playoffs 2022,1591,1592,12,Spring,5,1
NLC Spring Playoffs 2022,1603,1600,12,Spring,5,1
Hitpoint Masters Summer Playoffs 2023,1982,1989,13,Summer,5,1
LFL Promotion 2023,1682,1539,12,Summer,5,0
LPL Summer Playoffs 2021,1110,1104,11,Summer,5,0
CBLOL Academy Split 1 Playoffs 2021,1298,1305,11,Spring,5,0
VCS Winter Playoffs 2021,1196,1197,11,Summer,5,0
Kespa Cup 2021,1584,1582,11,Summer,5,1
Ultraliga Season 5,1088,1090,11,Spring,5,0
MSI 2022,1429,1438,12,Spring,5,0
Elite Series Summer Playoffs 2022,1543,1749,12,Summer,5,1
LCK CL Summer 2021,1272,1273,11,Summer,1,0
LFL Summer 2021,1225,1223,11,Summer,1,1
TCL Div2 Winter 2024,2459,2454,14,Spring,1,1
SuperLiga Summer 2023,1921,1913,13,Summer,1,1
EMEA Masters Spring 2024,2224,2195,14,Spring,5,1
PG Nationals Spring Playoffs 2023,1899,1900,13,Spring,5,1
Arabian League Spring 2023,2080,2083,13,Spring,1,1
LVP Superliga Spring 2021,1259,1265,11,Spring,1,1
LJL Spring Playoffs 2023,1835,1836,13,Spring,5,0
NLC Summer Playoffs 2022,1604,1600,12,Summer,5,1
EMEA Masters Play-In Summer 2023,1961,2077,13,Summer,3,0
EBL Spring Playoffs 2024,2311,2465,14,Spring,5,1
LEC Winter Playoffs 2024,2349,2170,14,Spring,5,1
NLC Spring Playoffs 2022,1605,1603,12,Spring,5,1
LCK CL Summer 2021,1275,1273,11,Summer,1,1
LFL Summer 2021,1226,1220,11,Summer,1,0
Kespa Cup 2021,1584,1710,11,Summer,3,0
LPLOL Spring Playoffs 2022,1591,1596,12,Spring,5,0
Hitpoint Masters Summer Playoffs 2023,1985,1982,13,Summer,5,1
TCL Div2 Winter 2024,2457,2455,14,Spring,1,0
SuperLiga Summer 2023,2057,1917,13,Summer,1,1
MSI 2022,1438,1463,12,Spring,5,0
LPL Summer Playoffs 2021,1110,1108,11,Summer,5,0
Elite Series Summer Playoffs 2022,1749,1550,12,Summer,5,0
LFL Promotion 2023,1682,1683,12,Summer,5,1
LVP Superliga Spring 2021,1260,1259,11,Spring,1,0
Arabian League Spring 2023,2081,2076,13,Spring,1,0
EMEA Masters Spring 2024,2388,2249,14,Spring,5,1
CBLOL Academy Split 1 Playoffs 2021,1299,1304,11,Spring,5,0
VCS Winter Playoffs 2021,1198,1195,11,Summer,5,1
Ultraliga Season 5,1090,1089,11,Spring,5,0
PG Nationals Spring Playoffs 2023,1895,1899,13,Spring,5,1
NLC Summer Playoffs 2022,1600,1597,12,Summer,5,0
EMEA Masters Play-In Summer 2023,1879,1963,13,Summer,3,0
LJL Spring Playoffs 2023,1838,1837,13,Spring,5,0
EBL Spring Playoffs 2024,2464,2465,14,Spring,5,1
NLC Spring Playoffs 2022,1605,1599,12,Spring,5,0
LEC Winter Playoffs 2024,2170,2168,14,Spring,5,0
LFL Summer 2021,1221,1222,11,Summer,1,1
LCK CL Summer 2021,1269,1270,11,Summer,1,0
Kespa Cup 2021,1582,1585,11,Summer,3,0
LPLOL Spring Playoffs 2022,1591,1595,12,Spring,5,0
TCL Div2 Winter 2024,2458,2453,14,Spring,1,1
SuperLiga Summer 2023,1914,1918,13,Summer,1,1
Hitpoint Masters Summer Playoffs 2023,1989,1985,13,Summer,5,0
MSI 2022,1429,1444,12,Spring,5,0
Arabian League Spring 2023,2082,2078,13,Spring,1,0
LVP Superliga Spring 2021,1261,1267,11,Spring,1,1
