Season,Tournament Name,Region,Games,Average Time,First Game,Last Game
S11,VCS Winter Playoffs 2021,VN,17,1871,2021-12-22,2021-12-26
S11,VCS Winter 2021,VN,131,1789,2021-11-16,2021-12-17
S11,GLL Winter Playoffs 2021,GR,24,1859,2021-11-22,2021-12-07
S11,GLL Winter 2021,GR,56,1885,2021-10-11,2021-11-16
S11,Prime League Winter Cup 2021,DE,49,1846,2021-10-03,2021-11-14
S11,LPLOL Grand Final 2021,PT,25,1973,2021-10-30,2021-11-13
S11,World Championship 2021,WR,83,2064,2021-10-11,2021-11-06
S11,World Championship Play-In 2021,WR,38,1801,2021-10-05,2021-10-09
S11,LFL Finals 2021,FR,10,1846,2021-08-27,2021-10-04
S11,LCS Proving Grounds Summer 2021,NA,86,1884,2021-09-02,2021-09-26
S11,LFL Promotion 2021,FR,18,1847,2021-09-20,2021-09-24
S11,EU Masters Summer 2021,WR,78,1862,2021-08-30,2021-09-19
S11,LJL Academy Playoffs 2021,JP,9,1730,2021-09-08,2021-09-09
S11,LJL Academy 2021,JP,30,1995,2021-08-30,2021-09-07
S11,LJL Summer Playoffs 2021,JP,20,2046,2021-08-08,2021-09-05
S11,LPL Regional Finals 2021,CN,10,1915,2021-09-03,2021-09-05
S11,CBLOL Split 2 Playoffs 2021,BR,19,1830,2021-08-07,2021-09-04
S11,LCL Summer Playoffs 2021,CIS,25,1928,2021-08-13,2021-09-04
S11,TCL Summer Playoffs 2021,TR,20,1959,2021-08-14,2021-09-04
S11,LCK Regional Finals 2021,KR,12,1980,2021-08-31,2021-09-02
S11,LPL Summer Playoffs 2021,CN,46,2041,2021-08-12,2021-09-02
S11,LCO Split 2 Playoffs 2021,OCE,20,1967,2021-08-17,2021-08-31
S11,LCS Championship 2021,NA,47,1965,2021-08-07,2021-08-29
S11,LEC Summer Playoffs 2021,EUW,34,1872,2021-08-13,2021-08-29
S11,PCS Summer Playoffs 2021,PCS,40,1887,2021-08-12,2021-08-29
S11,CBLOL Academy Split 2 Playoffs 2021,BR,18,1914,2021-08-10,2021-08-28
S11,LCK Summer Playoffs 2021,KR,18,2101,2021-08-18,2021-08-28
S11,LLA Closing Playoffs 2021,LAT,13,2010,2021-08-14,2021-08-28
S11,LCK CL Summer Playoffs 2021,KR,23,2067,2021-08-16,2021-08-27
S11,LFL Div2 Summer Playoffs 2021,FR,16,1972,2021-08-23,2021-08-26
S11,EU Masters Summer Play-In 2021,WR,63,1828,2021-08-16,2021-08-19
